company,name,location,salary,edu,experience,skills,demand,company_type,company_nature,company_scale
国信证券信息技术总部,SRE运维工程师,深圳,30-40K,硕士,1年以内,Nginx DevOps MySQL/Oracle 大数据运维经验 系统运维 运维开发经验 计算机相关专业 Python/Shell 运维经验,1、负责证券公司量化交易系统及行情系统的日常运维，保障业务系统的稳定和安全；2、负责运行和信息安全事件及相关服务请求处理；负责运维标准化工具化落地；3、负责系统运行时的故障定位、排障处理及持续优化；4、负责落实日常监控策略及监控指标的落地及持续优化；5、定期进行系统容量分析及编写运行报告，提出并落实容量优化措施；6、制定系统上线交付规范，参与系统上线实施及变更评审；7、严格控制生产环境的操作风险，能与制定及落实运维规范；8、制定业务连续性应急预案，定期进行本地演练及灾备演练，保证系统应急切换满足RTO\RPO要求，保障业务及数据的连续性；9、参与运维DEVOPS体系、运维中台体系及智能运维体系的建设。要求：985或211院校毕业，年龄35岁以下，有证券从业经验者优先,互联网,民营公司,少于50人
腾讯,运维工程师-外包,深圳,11-22K,本科,1-3年,Golang 网络运维 系统运维 运维开发/DevOps Python/Shell 计算机相关专业 运维经验 Kubernetes,工作地：深圳市南山区深圳湾科技生态园岗位职责：1、负责腾讯数据中心智维平台的维护、变更、升级、发布工作；2、负责腾讯数据中心智维平台的监控和稳定性建设，保证服务的高可用运行3、使用自动化方式对日常维护和监控工作进行处理，提升运维效率岗位要求：1、计算机相关专业本科及以上学历，2 年以上互联网运维相关工作经验2、熟悉 Kubernetes 云原生容器系统的架构，能够熟练进行集群部署、排障和变更等维护工作3、熟悉 Linux 操作系统，熟悉 Shell 编程。掌握基本数据结构和 Python/Golang编程语言者优先4、了解MySQL、Redis、消息队列等常用中间件的工作原理，熟悉相应组件的搭建、故障排查和数据修复等工作,其他,上市公司,10000人以上
深圳麦亚信,坐席运维,深圳,7-9K,大专,1-3年,系统运维,岗位技能要求：1、大专或以上学历，具备IT相关专业背景，至少有1年IT服务支持工作经验。2、普通话标准、口齿伶俐，计算机操作熟练，具备较强的沟通和表达能力，善于倾听用户需求和问题。3、具备基础的数据分析技能，具有良好的逻辑思维和问题分析能力，能够快速定位和解决问题。4、熟悉常用的办公软件和操作系统，有企业内部应用系统的管理员或运维经验者优先，如OA、人资、财务类系统等，有云平台运维经验优先。5、具备团队合作精神，能够积极与他人合作，共同完成工作任务。6、有较强的学习能力和自我提升意愿，能够不断学习和了解新的技术和系统。7、持有ITIL证书、计算机技术与软件专业技术资格证书（包括：信息系统项目管理师、系统分析师、企业信息化管理师、系统架构设计师、系统规划与管理师、CISP、CICSA）者优先考虑。,其他,外资（非欧美）,1000-5000人
道通科技,中级/高级运维工程师,深圳,25-45K·15薪,本科,5-10年,系统运维 Python/Shell Docker Kubernetes SRE 公有云 境外,工作职责： 1、负责海外应用系统运维，保障系统7*24小时稳定运行（海外时差原因能接受电话on-call）； 2、负责部门基础组件/中间件和业务的运维工作，设计和规划业务的高可用性、故障解决、容灾部署和节假日保障等；3、负责架构优化、成本优化、高可用运维等技术运营工作；4、负责推进相关服务问题改进，提高运维效率和质量；任职要求：1、本科及以上学历，计算机及相关专业，至少5年以上大型互联网相关工作经验；2、深入理解Linux系统和运维体系结构，精通架构设计、性能优化、容量规划，熟练掌握一门以上脚本语言(Shel/Python/Go等)； 3、熟悉容器(Docker)或k8s(Kubernetes)的使用，有相关生产实战经验；4、熟悉AWS云、阿里云服务的使用，有相关生产实战经验；5、有Redis、Kafka、RabbitMQ、ElasticSearch、Nginx、Zookeeper等相关中间件的生产实践经验；6、熟悉APM应用性能监控，精通Prometheus监控维护与配置，熟练撑握网络与CDN知识与运用。 7、良好的学习能力、沟通能力、抗压能力，责任心强，具备良好的团队合作精神和承压能力，结果导向意识及自驱力强；,互联网,民营公司,150-500人
深圳竹芒科技有限公司,运维工程师,深圳,15-18K,大专,3-5年,运维经验 K8s,"工作职责1、负责生产环境监控、告警、需求变更、发布等操作; 2、负责线上服务器管理;    3、负责运维成本管理;    4、负责生产和测试环境的部署与与容器平台的管理;   5、负责生产业务系统权限处理, 及业务部门反馈问题处理; 任职资格填写要求：1、计算机相关专业专科或以上学历；2、熟悉kubernetes，对其底层原理（网络、调度、资源隔离等）有深入理解；3、3年以上运维工作经验，熟悉Golang或Python或Shell编程经验；4、具备较强的问题分析定位解决能力;5、具备一定的学习能, 能吃苦耐劳, 适应一定强度的工作;",互联网,民营公司,50-150人
先进数通,运维工程师,深圳,7-12K·13薪,大专,5-10年,实施交付运维 运维开发经验 Linux SQL 银行,岗位职责：1、 负责生产系统应用类故障的处理；2、 组织并协调相关资源（比如汇报领导、协调系统的项目组和管理员、推动优化）推动、跟进应用系统功能的优化；3、 负责生产系统关于数据调整变更方案的审核；4、 定期分析总结应用系统出现的问题；5、 根据业务系统关联关系，对故障问题进行定位。任职要求：1、大专或以上学历，本科要达到7年或是专科要8年；2、熟悉linux、sql语句；3、具有银行或金融同业实施经验者优先、具有云实施运维经验者优先；4、有计算机基础，计算机专业优先；5、沟通能力要好，性格沉稳，有一定学习能力；PS:需要上夜班，三班倒,其他,民营公司,50-150人
鹏跃仪器,运维工程师,深圳,4-8K·13薪,大专,1-3年,环境工程 化学,岗位职责：1、负责水质在线监测仪器的现场安装调试工作；2、负责仪器日常维护工作；3、负责重要项目和客户的日常跟踪及回访工作；4、配合区域商务做好本区域运营服务工作；5、支持公司销售队伍达到公司业务发展的目标。岗位要求：1、专科以上学历，环境/化学/生物/自动化/电子等相关专业；2、有过水质自动站运营维护经验，能具备水质在线监测仪器维护保养维修者优先；2、吃苦耐劳，工作踏实，责任感强，有较强的组织性、纪律性，沟通协调能力佳。3、有驾照，能熟练开车者优先。,其他,民营公司,50-150人
特发信息,5*8基础设施运维工程师【暖通/电气/消防】,深圳,8-10K,大专,3-5年,IDC机房运维 电子/电气/自动化相关专业 运维经验 IDC机房 IDC数据中心,岗位职责：1.负责机楼内年度维护计划表、维护、维修记录的编制、审核；2.负责机楼内运营商人员巡检质量、值班纪律的检查；3.负责机楼内暖通、电气、弱电、消防等相关设备稳定运行；4.对机房内专项、零星施工工程进度推进及质量验收工作；5.负责机楼内故障、事件的处理跟进、技术支撑、故障分析复盘；6.编制机楼内响应 SOPIMOP\EOP7.负责集群内其它专项跟进工作；岗位要求：1、学历要求：大专及以上，电气相关专业2、工作年限：3年以上工作经验3、行业经验：2年的数据中心基础设施运维工作经验,其他,外资（非欧美）,1000-5000人
鼎峰网络,IDC运维工程师,深圳,7-12K·13薪,大专,经验不限,自动化运维 Linux Windows 系统运维 桌面运维 虚拟化运维 机房运维 大数据运维,运维工程师岗位职责：1. 负责公司服务器快速部署、调试、维护、监控；2. 负责硬件组装调试及机房上架服务器等3. 负责服务器状态监控、故障处理等操作；4. 主动检测发现服务器运行环境的漏洞和安全隐患5. 负责收集和分析硬件或操作系统性能指标，对提高系统可靠性提出建议，维护系统稳定运行；6. 利用空闲时间研究开发或推进自动化运维工具来解放双手；任职资格：1.大专以上学历，计算机相关专业（应届生需本科或本科以上学历，大专学历需同行工作经验2年以上）2. 熟悉常用的操作系统（Windows、Linux）的安装、操作、配置、故障处理；服务器的售后服务及相关环境的搭建；3.熟悉服务器硬件的安装调试，能够快速判断硬件故障；4. 具备网络基础知识，对相关网络设备及综合布线有了解；可优先考虑。5. 具备良好的服务意识与职业素养，沟通能力和良好的语言表达能力，具备团队协作精神；6. 党员、退伍军人优先考虑(学历可适当降低)，有IDC运维工作经验者优先考虑。待遇：住房补贴+餐饮补贴+全勤奖+绩效奖金+升职空间+国内外旅游,互联网,民营公司,50-150人
华为技术有限公司,运维工程师,深圳,11-12K·14薪,本科,经验不限,桌面运维 网络运维 系统运维,公有云维护   岗位职责：华为云网上问题，处理关键客户重保，新客户迁移云岗位要求：1. 有主流数据库的使用及维护经验（mysql、PG、oracle、sqlserver等一种或多种）；熟悉linux操作系统的使用；2. 有服务化意识，能够换位思考问题，以客户为中心去处理问题、解决问题；3. 有现网维护经验优先，有华为云相关技术经验优先；HCS维护岗位职责：1. 负责华为云数据库现网问题处理；2. 负责华为云数据库服务上线和现场维护保障；关键局点驻场，重大项目支撑；3. 负责输出典型业务场景最佳实践，性能优化等；通过网上问题分析，挖掘产品的短板、识别DFX能力不足，推动负向改进；岗位要求：1. 有主流数据库的使用及维护经验（mysql、PG、oracle、sqlserver等一种或多种）；熟悉linux操作系统的使用；2. 有服务化意识，能够换位思考问题，以客户为中心去处理问题、解决问题；3. 有现网维护经验优先，有混合云相关技术经验优先；4. 有良好的组织协调能力，可接受出差；,其他,上市公司,少于50人
